Text,Label 1,Label 2,Label 3,Label 4,Label 5,Label 6,Label 7,Label 8
Ἔκρινα γὰρ τοῦτο ἐμαυτῷ τὸ μὴ πάλιν ἐλθεῖν ἐν λύπῃ πρὸς ὑμᾶς.,Negative,Negative,Ambiguous / Mixed,Negative,Negative,Ambiguous / Mixed,Negative,Positive
"εἰ γὰρ ἐγὼ λυπῶ ὑμᾶς, τίς ὁ εὐφραίνων με εἰ μὴ ὁ λυπούμενος ἐξ ὑμῶν;",Negative,Negative,Neutral,Negative,Negative,Negative,Ambiguous / Mixed,Ambiguous / Mixed
"καὶ τοῦτο ἔγραψα ὑμῖν, ἵνα μὴ ἐλθὼν λύπην σχῶ ἀφ’ ὧν ἔδει με χαίρειν, πεποιθὼς ἐπὶ πάντας ὑμᾶς ὅτι ἡ ἐμὴ χαρὰ πάντων ὑμῶν ἐστιν.",Ambiguous / Mixed,Ambiguous / Mixed,Positive,Ambiguous / Mixed,Ambiguous / Mixed,Ambiguous / Mixed,Ambiguous / Mixed,Ambiguous / Mixed
"ἐκ γὰρ πολλῆς θλίψεως καὶ συνοχῆς καρδίας ἔγραψα ὑμῖν διὰ πολλῶν δακρύων, οὐχ ἵνα λυπηθῆτε ἀλλὰ τὴν ἀγάπην ἵνα γνῶτε ἣν ἔχω περισσοτέρως εἰς ὑμᾶς.",Ambiguous / Mixed,Ambiguous / Mixed,Positive,Negative,Negative,Ambiguous / Mixed,Ambiguous / Mixed,Ambiguous / Mixed
"Εἰ δέ τις λελύπηκεν, οὐκ ἐμὲ λελύπηκεν ἀλλὰ ἀπὸ μέρους,—ἵνα μὴ ἐπιβαρῶ—πάντας ὑμᾶς.",Negative,Negative,Negative,Neutral,Negative,Ambiguous / Mixed,Negative,Negative
ἱκανὸν αὐτῷ τὸ ἐπιτίμιον τοῦτο τὸ ὑπὸ τῶν πλειόνων·,Neutral,Neutral,Negative,Neutral,Neutral,Negative,Negative,Negative
"ὥστε τοὐναντίον μᾶλλον ὑμᾶς χαρίσασθαι καὶ παρακαλέσαι, μή πως τῇ περισσοτέρᾳ λύπῃ καταποθῇ ὁ τοιοῦτος.",Positive,Positive,Negative,Neutral,Neutral,Ambiguous / Mixed,Positive,Ambiguous / Mixed
διὸ παρακαλῶ ὑμᾶς κυρῶσαι εἰς αὐτὸν ἀγάπην.,Positive,Positive,Positive,Neutral,Neutral,Positive,Positive,Ambiguous / Mixed
"εἰς τοῦτο γὰρ καὶ ἔγραψα ἵνα γνῶ τὴν δοκιμὴν ὑμῶν, εἰ εἰς πάντα ὑπήκοοί ἐστε.",Neutral,Neutral,Positive,Neutral,Neutral,Neutral,Neutral,Neutral
"ᾧ δέ τι χαρίζεσθε, κἀγώ· καὶ γὰρ ἐγὼ ὃ κεχάρισμαι, εἴ τι κεχάρισμαι, δι’ ὑμᾶς ἐν προσώπῳ Χριστοῦ,",Positive,Positive,Positive,Neutral,Neutral,Positive,Positive,Neutral
ἵνα μὴ πλεονεκτηθῶμεν ὑπὸ τοῦ Σατανᾶ· οὐ γὰρ αὐτοῦ τὰ νοήματα ἀγνοοῦμεν.,Negative,Negative,Positive,Neutral,Neutral,Neutral,Positive,Neutral
"Ἐλθὼν δὲ εἰς τὴν Τρῳάδα εἰς τὸ εὐαγγέλιον τοῦ Χριστοῦ καὶ θύρας μοι ἀνεῳγμένης ἐν Κυρίῳ,",Positive,Neutral,Positive,Positive,Neutral,Neutral,Positive,Positive
"οὐκ ἔσχηκα ἄνεσιν τῷ πνεύματί μου τῷ μὴ εὑρεῖν με Τίτον τὸν ἀδελφόν μου, ἀλλὰ ἀποταξάμενος αὐτοῖς ἐξῆλθον εἰς Μακεδονίαν.",Negative,Negative,Negative,Negative,Negative,Negative,Negative,Negative
Τῷ δὲ θεῷ χάρις τῷ πάντοτε θριαμβεύοντι ἡμᾶς ἐν τῷ Χριστῷ καὶ τὴν ὀσμὴν τῆς γνώσεως αὐτοῦ φανεροῦντι διʼ ἡμῶν ἐν παντὶ τόπῳ·,Positive,Positive,Positive,Positive,Positive,Ambiguous / Mixed,Positive,Positive
"ὅτι Χριστοῦ εὐωδία ἐσμὲν τῷ θεῷ ἐν τοῖς σῳζομένοις καὶ ἐν τοῖς ἀπολλυμένοις,",Ambiguous / Mixed,Ambiguous / Mixed,Positive,Positive,Neutral,Ambiguous / Mixed,Positive,Positive
"οἷς μὲν ὀσμὴ ἐκ θανάτου εἰς θάνατον, οἷς δὲ ὀσμὴ ἐκ ζωῆς εἰς ζωήν. καὶ πρὸς ταῦτα τίς ἱκανός;",Ambiguous / Mixed,Ambiguous / Mixed,Positive,Ambiguous / Mixed,Neutral,Ambiguous / Mixed,Neutral,Neutral
"ὦ ἀνόητοι Γαλάται, τίς ὑμᾶς ἐβάσκανεν, οἷς κατ’ ὀφθαλμοὺς Ἰησοῦς Χριστὸς ἐγράφη ἐσταυρωμένος;",Negative,Negative,Negative,Negative,Negative,Negative,Negative,Negative
"τοῦτο μόνον θέλω μαθεῖν ἀφ’ ὑμῶν, ἐξ ἔργων νόμου τὸ Πνεῦμα ἐλάβετε ἢ ἐξ ἀκοῆς πίστεως;",Neutral,Neutral,Negative,Neutral,Negative,Ambiguous / Mixed,Neutral,Negative
οὕτως ἀνόητοί ἐστε; ἐναρξάμενοι Πνεύματι νῦν σαρκὶ ἐπιτελεῖσθε;,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Negative
τοσαῦτα ἐπάθετε εἰκῇ; εἴ γε καὶ εἰκῇ.,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Negative
"ὁ οὖν ἐπιχορηγῶν ὑμῖν τὸ Πνεῦμα καὶ ἐνεργῶν δυνάμεις ἐν ὑμῖν, ἐξ ἔργων νόμου ἢ ἐξ ἀκοῆς πίστεως;",Neutral,Neutral,Negative,Neutral,Negative,Ambiguous / Mixed,Neutral,Negative
"καθὼς Ἀβραὰμ ἐπίστευσεν τῷ Θεῷ, καὶ ἐλογίσθη αὐτῷ εἰς δικαιοσύνην.",Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Positive,Neutral
"ἄρατε γινώσκετε ὅτι οἱ ἐκ πίστεως, οὗτοι υἱοί εἰσιν Ἀβραάμ.",Neutral,Neutral,Neutral,Neutral,Neutral,Positive,Positive,
προϊδοῦσα δὲ ἡ γραφὴ ὅτι ἐκ πίστεως δικαιοῖ τὰ ἔθνη ὁ Θεὸς προευηγγελίσατο τῷ Ἀβραὰμ ὅτι ἐνευλογηθήσονται ἐν σοὶ πάντα τὰ ἔθνη.,Positive,Positive,Neutral,Neutral,Neutral,Neutral,Positive,Neutral
ὥστε οἱ ἐκ πίστεως εὐλογοῦνται σὺν τῷ πιστῷ Ἀβραάμ.,Positive,Positive,Neutral,Neutral,Neutral,Positive,Positive,Neutral
ὅσοι γὰρ ἐξ ἔργων νόμου εἰσὶν ὑπὸ κατάραν εἰσίν· γέγραπται γὰρ ὅτι Ἐπικατάρατος πᾶς ὃς οὐκ ἐμμένει πᾶσιν τοῖς γεγραμμένοις ἐν τῷ βιβλίῳ τοῦ νόμου τοῦ ποιῆσαι αὐτά.,Negative,Negative,Negative,Neutral,Neutral,Negative,Negative,Negative
"ὅτι δὲ ἐν νόμῳ οὐδεὶς δικαιοῦται παρὰ τῷ Θεῷ δῆλον, ὅτι Ὁ δίκαιος ἐκ πίστεως ζήσεται.",Negative,Neutral,Negative,Neutral,Neutral,Ambiguous / Mixed,Negative,Neutral
"ὁ δὲ νόμος οὐκ ἔστιν ἐκ πίστεως, ἀλλ’ Ὁ ποιήσας αὐτὰ ζήσεται ἐν αὐτοῖς.",Neutral,Neutral,Negative,Neutral,Neutral,Ambiguous / Mixed,Negative,Negative
"Χριστὸς ἡμᾶς ἐξηγόρασεν ἐκ τῆς κατάρας τοῦ νόμου γενόμενος ὑπὲρ ἡμῶν κατάρα, ὅτι γέγραπται· Ἐπικατάρατος πᾶς ὁ κρεμάμενος ἐπὶ ξύλου,",Ambiguous / Mixed,Ambiguous / Mixed,Positive,Neutral,Neutral,Ambiguous / Mixed,Negative,Positive
"ἵνα εἰς τὰ ἔθνη ἡ εὐλογία τοῦ Ἀβραὰμ γένηται ἐν Χριστῷ Ἰησοῦ, ἵνα τὴν ἐπαγγελίαν τοῦ Πνεύματος λάβωμεν διὰ τῆς πίστεως.",Positive,Positive,Positive,Neutral,Neutral,Positive,Positive,Positive
"Γίνεσθε ὡς ἐγώ, ὅτι κἀγὼ ὡς ὑμεῖς, ἀδελφοί, δέομαι ὑμῶν. Οὐδέν με ἠδικήσατε.",Neutral,Positive,Positive,Ambiguous / Mixed,Neutral,Positive,Positive,Positive
"οἴδατε δὲ ὅτι δι᾽ ἀσθένειαν τῆς σαρκὸς εὐηγγελισάμην ὑμῖν τὸ πρότερον,",Negative,Neutral,Positive,Neutral,Neutral,Negative,Positive,Negative
"καὶ τὸν πειρασμόν μου τὸν ἐν τῇ σαρκί μου οὐκ ἐξουθενήσατε οὐδὲ ἐξεπτύσατε, ἀλλὰ ὡς ἄγγελον θεοῦ ἐδέξασθέ με, ὡς Χριστὸν Ἰησοῦν.",Positive,Positive,Positive,Positive,Neutral,Positive,Positive,
τίς οὖν ἦν ὁ μακαρισμὸς ὑμῶν; μαρτυρῶ γὰρ ὑμῖν ὅτι εἰ δυνατὸν τοὺς ὀφθαλμοὺς ὑμῶν ἐξορύξαντες ἂν ἐδώκατέ μοι.,Neutral,Negative,Negative,Negative,Neutral,Negative,Positive,
ὥστε ἐχθρὸς ὑμῶν γέγονα ἀληθεύων ὑμῖν;,Negative,Negative,Negative,Negative,Neutral,Negative,Negative,Ambiguous / Mixed
"ζηλοῦσιν ὑμᾶς οὐ καλῶς, ἀλλὰ ἐκκλεῖσαι ὑμᾶς θέλουσιν, ἵνα αὐτοὺς ζηλοῦτε.",Negative,Negative,Negative,Negative,Neutral,Negative,Negative,Negative
"καλὸν δὲ ζηλοῦσθαι ἐν καλῷ πάντοτε, καὶ μὴ μόνον ἐν τῷ παρεῖναί με πρὸς ὑμᾶς·",Positive,Positive,Negative,Ambiguous / Mixed,Neutral,Positive,Positive,Ambiguous / Mixed
"τέκνα μου, οὓς πάλιν ὠδίνω μέχρι οὗ μορφωθῇ Χριστὸς ἐν ὑμῖν·",Ambiguous / Mixed,Ambiguous / Mixed,Negative,Negative,Neutral,Ambiguous / Mixed,Positive,Negative
"ἤθελον δὲ παρεῖναι πρὸς ὑμᾶς ἄρτι καὶ ἀλλάξαι τὴν φωνήν μου, ὅτι ἀποροῦμαι ἐν ὑμῖν.",Negative,Negative,Negative,Negative,Neutral,Negative,Negative,Negative
"Θέλω δὲ ὑμᾶς εἰδέναι, ἀδελφοί, ὅτι τὰ κατ’ ἐμὲ μᾶλλον εἰς προκοπὴν τοῦ εὐαγγελίου ἐλήλυθεν,",Positive,Positive,Positive,Neutral,Positive,Positive,Positive,
"ὥστε τοὺς δεσμούς μου φανεροὺς ἐν Χριστῷ γενέσθαι ἐν ὅλῳ τῷ πραιτωρίῳ καὶ τοῖς λοιποῖς πᾶσιν,",Positive,Positive,Positive,Neutral,Positive,Neutral,Positive,Positive
καὶ τοὺς πλείονας τῶν ἀδελφῶν ἐν Κυρίῳ πεποιθότας τοῖς δεσμοῖς μου περισσοτέρως τολμᾶν ἀφόβως τὸν λόγον λαλεῖν.,Positive,Positive,Positive,Neutral,Positive,Ambiguous / Mixed,Positive,Positive
"Τινὲς μὲν καὶ διὰ φθόνον καὶ ἔριν, τινὲς δὲ καὶ δι’ εὐδοκίαν τὸν Χριστὸν κηρύσσουσιν·",Ambiguous / Mixed,Ambiguous / Mixed,Neutral,Neutral,Ambiguous / Mixed,Ambiguous / Mixed,Ambiguous / Mixed,Ambiguous / Mixed
"οὗτοι μὲν ἐξ ἀγάπης, εἰδότες ὅτι εἰς ἀπολογίαν τοῦ εὐαγγελίου κεῖμαι,",Positive,Positive,Positive,Neutral,Positive,Positive,Negative,
"οἱ δὲ ἐξ ἐριθείας τὸν Χριστὸν καταγγέλλουσιν, οὐχ ἁγνῶς, οἰόμενοι θλίψιν ἐγείρειν τοῖς δεσμοῖς μου.",Negative,Negative,Negative,Neutral,Positive,Negative,Negative,Negative
"τί γάρ; πλὴν παντὶ τρόπῳ, εἴτε προφάσει εἴτε ἀληθείᾳ, Χριστὸς καταγγέλλεται· καὶ ἐν τούτῳ χαίρω. ἀλλὰ καὶ χαρήσομαι,",Positive,Positive,Positive,Neutral,Positive,Positive,Neutral,Positive
"οἶδα γὰρ ὅτι τοῦτό μοι ἀποβήσεται εἰς σωτηρίαν διὰ τῆς ὑμῶν δεήσεως καὶ ἐπιχορηγίας τοῦ Πνεύματος Ἰησοῦ Χριστοῦ,",Positive,Positive,Positive,Neutral,Positive,Positive,Positive,Positive
"κατὰ τὴν ἀποκαραδοκίαν καὶ ἐλπίδα μου ὅτι ἐν οὐδενὶ αἰσχυνθήσομαι, ἀλλ’ ἐν πάσῃ παρρησίᾳ, ὡς πάντοτε καὶ νῦν, μεγαλυνθήσεται Χριστὸς ἐν τῷ σώματί μου, εἴτε διὰ ζωῆς εἴτε διὰ θανάτου.",Positive,Positive,Positive,Neutral,Positive,Positive,Positive,Positive
Ἐμοὶ γὰρ τὸ ζῆν Χριστὸς καὶ τὸ ἀποθανεῖν κέρδος.,Positive,Positive,Positive,Positive,Positive,Positive,Positive,Ambiguous / Mixed
"εἰ δὲ τὸ ζῆν ἐν σαρκί, τοῦτό μοι καρπὸς ἔργου· καὶ τί αἱρήσομαι οὐ γνωρίζω.",Ambiguous / Mixed,Ambiguous / Mixed,Negative,Negative,Ambiguous / Mixed,Negative,Ambiguous / Mixed,Ambiguous / Mixed
"συνέχομαι δὲ ἐκ τῶν δύο, τὴν ἐπιθυμίαν ἔχων εἰς τὸ ἀναλῦσαι καὶ σὺν Χριστῷ εἶναι, πολλῷ κρεῖσσον·",Ambiguous / Mixed,Ambiguous / Mixed,Negative,Ambiguous / Mixed,Ambiguous / Mixed,Ambiguous / Mixed,Ambiguous / Mixed,
τὸ δὲ ἐπιμένειν ἐν τῇ σαρκὶ ἀναγκαιότερον δι’ ὑμᾶς.,Neutral,Neutral,Positive,Positive,Ambiguous / Mixed,Positive,Positive,Positive
"καὶ τοῦτο πεποιθὼς οἶδα ὅτι μενῶ καὶ συμπαραμενῶ πᾶσιν ὑμῖν εἰς τὴν ὑμῶν προκοπὴν καὶ χαρὰν τῆς πίστεως,",Positive,Positive,Positive,Neutral,Positive,Positive,Positive,
ἵνα ἡ καύχησις ὑμῶν περισσεύῃ ἐν Χριστῷ Ἰησοῦ ἐν ἐμοὶ διὰ τῆς ἐμῆς παρουσίας πάλιν πρὸς ὑμᾶς.,Positive,Positive,Positive,Neutral,Positive,Positive,Positive,
"Μόνον ἀξίως τοῦ εὐαγγελίου τοῦ Χριστοῦ πολιτεύεσθε, ἵνα εἴτε ἐλθὼν καὶ ἰδὼν ὑμᾶς εἴτε ἀπὼν ἀκούω τὰ περὶ ὑμῶν, ὅτι στήκετε ἐν ἑνὶ πνεύματι, μιᾷ ψυχῇ συναθλοῦντες τῇ πίστει τοῦ εὐαγγελίου,",Neutral,Neutral,Positive,Neutral,Neutral,Positive,Positive,Ambiguous / Mixed
"καὶ μὴ πτυρόμενοι ἐν μηδενὶ ὑπὸ τῶν ἀντικειμένων, ἥτις ἐστὶν αὐτοῖς ἔνδειξις ἀπωλείας, ὑμῶν δὲ σωτηρίας, καὶ τοῦτο ἀπὸ Θεοῦ·",Ambiguous / Mixed,Ambiguous / Mixed,Positive,Neutral,Neutral,Ambiguous / Mixed,Positive,Positive
"ὅτι ὑμῖν ἐχαρίσθη τὸ ὑπὲρ Χριστοῦ, οὐ μόνον τὸ εἰς αὐτὸν πιστεύειν ἀλλὰ καὶ τὸ ὑπὲρ αὐτοῦ πάσχειν,",Ambiguous / Mixed,Ambiguous / Mixed,Positive,Neutral,Neutral,Ambiguous / Mixed,Ambiguous / Mixed,Ambiguous / Mixed
τὸν αὐτὸν ἀγῶνα ἔχοντες οἷον εἴδετε ἐν ἐμοὶ καὶ νῦν ἀκούετε ἐν ἐμοί.,Negative,Negative,Positive,Neutral,Positive,Ambiguous / Mixed,Ambiguous / Mixed,Ambiguous / Mixed
Τί οὖν ἐροῦμεν; ὁ νόμος ἁμαρτία; μὴ γένοιτο· ἀλλὰ τὴν ἁμαρτίαν οὐκ ἔγνων εἰ μὴ διὰ νόμου· τὴν τε γὰρ ἐπιθυμίαν οὐκ ᾔδειν εἰ μὴ ὁ νόμος ἔλεγεν Οὐκ ἐπιθυμήσεις.,Ambiguous / Mixed,Neutral,Positive,Neutral,Negative,Positive,Neutral,Positive
ἀφορμὴν δὲ λαβοῦσα ἡ ἁμαρτία διὰ τῆς ἐντολῆς κατειργάσατο ἐν ἐμοὶ πᾶσαν ἐπιθυμίαν· χωρὶς γὰρ νόμου ἁμαρτία νεκρά.,Negative,Negative,Positive,Neutral,Negative,Negative,Neutral,Neutral
"ἐγὼ δὲ ἔζων χωρὶς νόμου ποτέ· ἐλθούσης δὲ τῆς ἐντολῆς ἡ ἁμαρτία ἀνέζησεν,",Negative,Negative,Positive,Neutral,Neutral,Negative,Negative,Neutral
"ἐγὼ δὲ ἀπέθανον, καὶ εὑρέθη μοι ἡ ἐντολὴ ἡ εἰς ζωὴν αὕτη εἰς θάνατον.",Negative,Negative,Negative,Neutral,Negative,Negative,Negative,Negative
ἡ γὰρ ἁμαρτία ἀφορμὴν λαβοῦσα διὰ τῆς ἐντολῆς ἐξηπάτησέν με καὶ δι’ αὐτῆς ἀπέκτεινεν.,Negative,Negative,Negative,Neutral,Neutral,Negative,Negative,Negative
ὥστε ὁ μὲν νόμος ἅγιος καὶ ἡ ἐντολὴ ἁγία καὶ δικαία καὶ ἀγαθή.,Positive,Positive,Positive,Neutral,Neutral,Positive,Neutral,Positive
"Τὸ οὖν ἀγαθὸν ἐμοὶ ἐγένετο θάνατος; μὴ γένοιτο· ἀλλὰ ἡ ἁμαρτία, ἵνα φανῇ ἁμαρτία διὰ τοῦ ἀγαθοῦ μοι κατεργαζομένη θάνατον, ἵνα γένηται καθ’ ὑπερβολὴν ἁμαρτωλὸς ἡ ἁμαρτία διὰ τῆς ἐντολῆς.",Ambiguous / Mixed,Ambiguous / Mixed,Positive,Neutral,Negative,Ambiguous / Mixed,Neutral,Negative
"Οἴδαμεν γὰρ ὅτι ὁ νόμος πνευματικός ἐστιν· ἐγὼ δὲ σαρκικός εἰμι, πεπραμένος ὑπὸ τὴν ἁμααρτίαν.",Ambiguous / Mixed,Negative,Negative,Neutral,Negative,Negative,Neutral,Negative
"ὃ γὰρ κατεργάζομαι οὐ γινώσκω· οὐ γὰρ ὃ θέλω τοῦτο πράσσω, ἀλλ’ ὃ μισῶ τοῦτο ποιῶ.",Negative,Negative,Negative,Ambiguous / Mixed,Negative,Negative,Negative,Negative
"εἰ δὲ ὃ οὐ θέλω τοῦτο ποιῶ, συμφημὶ τῷ νόμῳ ὅτι καλόν.",Ambiguous / Mixed,Ambiguous / Mixed,Negative,Neutral,Negative,Ambiguous / Mixed,Neutral,
νυνὶ δὲ οὐκέτι ἐγὼ κατεργάζομαι αὐτὸ ἀλλὰ ἡ ἐνοικοῦσα ἐν ἐμοὶ ἁμαρτία.,Neutral,Neutral,Negative,Neutral,Negative,Positive,Neutral,
"οἶδα γὰρ ὅτι οὐκ οἰκεῖ ἐν ἐμοί, τοῦτ’ ἔστιν ἐν τῇ σαρκί μου, ἀγαθόν· τὸ γὰρ θέλειν παράκειταί μοι, τὸ δὲ κατεργάζεσθαι τὸ καλὸν οὐ.",Negative,Negative,Negative,Neutral,Negative,Negative,Negative,Negative
"οὐ γὰρ ὃ θέλω ποιῶ ἀγαθόν, ἀλλ’ ὃ οὐ θέλω κακὸν τοῦτο πράσσω.",Negative,Negative,Negative,Neutral,Negative,Negative,Negative,Negative
"εἰ δὲ ὃ οὐ θέλω ἐγὼ τοῦτο ποιῶ, οὐκέτι ἐγὼ κατεργάζομαι αὐτὸ ἀλλὰ ἡ ἐνοικοῦσα ἐν ἐμοὶ ἁμαρτία.",Neutral,Neutral,Negative,Neutral,Ambiguous / Mixed,Ambiguous / Mixed,Neutral,
"Εὑρίσκω ἄρα τὸν νόμον, τῷ θέλοντι ἐμοὶ ποιεῖν τὸ καλόν, ὅτι ἐμοὶ τὸ κακὸν παράκειται.",Negative,Negative,Negative,Neutral,Neutral,Positive,Neutral,Negative
"συνήδομαι γὰρ τῷ νόμῳ τοῦ θεοῦ κατὰ τὸν ἔσω ἄνθρωπον,",Positive,Positive,Positive,Positive,Ambiguous / Mixed,Positive,Positive,Positive
βλέπω δὲ ἕτερον νόμον ἐν τοῖς μέλεσίν μου ἀντιστρατευόμενον τῷ νόμῳ τοῦ νοός μου καὶ αἰχμαλωτίζοντά με ἐν τῷ νόμῳ τῆς ἁμαρτίας τῷ ὄντι ἐν τοῖς μέλεσίν μου.,Negative,Negative,Negative,Negative,Ambiguous / Mixed,Negative,Ambiguous / Mixed,Negative
ταλαίπωρος ἐγὼ ἄνθρωπος· τίς με ῥύσεται ἐκ τοῦ σώματος τοῦ θανάτου τούτου;,Negative,Negative,Negative,Negative,Negative,Negative,Negative,Negative
χάρις τῷ θεῷ διὰ Ἰησοῦ Χριστοῦ τοῦ κυρίου ἡμῶν. ἄρα οὖν αὐτὸς ἐγὼ τῷ μὲν νοῒ δουλεύω νόμῳ θεοῦ τῇ δὲ σαρκὶ νόμῳ ἁμαρτίας.,Ambiguous / Mixed,Ambiguous / Mixed,Positive,Ambiguous / Mixed,Ambiguous / Mixed,Positive,Positive,Negative
"Ἀλήθειαν λέγω ἐν Χριστῷ, οὐ ψεύδομαι, συνμαρτυρούσης μοι τῆς συνειδήσεώς μου ἐν Πνεύματι Ἁγίῳ,",Neutral,Neutral,Positive,Positive,Neutral,Positive,Negative,Positive
ὅτι λύπη μοι ἐστὶν μεγάλη καὶ ἀδιάλειπτος ὀδύνη τῇ καρδίᾳ μου.,Negative,Negative,Negative,Negative,Negative,Positive,Negative,Negative
"ηὐχόμην γὰρ ἀνάθεμα εἶναι αὐτὸς ἐγὼ ἀπὸ τοῦ Χριστοῦ ὑπὲρ τῶν ἀδελφῶν μου τῶν συγγενῶν μου κατὰ σάρκα,",Negative,Ambiguous / Mixed,Negative,Ambiguous / Mixed,Neutral,Positive,Negative,Negative
"οἵτινές εἰσιν Ἰσραηλῖται, ὧν ἡ υἱοθεσία καὶ ἡ δόξα καὶ αἱ διαθῆκαι καὶ ἡ νομοθεσία καὶ ἡ λατρεία καὶ αἱ ἐπαγγελίαι,",Positive,Positive,Positive,Neutral,Ambiguous / Mixed,Neutral,Positive,Ambiguous / Mixed
"ὧν οἱ πατέρες καὶ ἐξ ὧν ὁ Χριστὸς τὸ κατὰ σάρκα, ὁ ὢν ἐπὶ πάντων θεὸς εὐλογητὸς εἰς τοὺς αἰῶνας· ἀμήν.",Positive,Positive,Positive,Neutral,Ambiguous / Mixed,Positive,Positive,Ambiguous / Mixed